gene_symbol,pos
STXBP1,423
STXBP2,424
SUPV3L1,425
SUV39H1,426
SYK,427
SYPL1,428
TARBP1,429
TBP,430
TBX2,431
TBXA2R,432
TCEA2,433
VPS72,434
TCTA,435
DYNLT3,436
TERT,437
TESK1,438
TFAP2A,439
TFDP1,440
TGFB3,441
TGFBR2,442
TIAM1,443
TIMP2,444
TJP1,445
TLE1,446
TLR4,447
TSPAN6,448
TSPAN4,449
TOP2A,450
TP53,451
TP53BP1,452
TP53BP2,453
TPD52L2,454
TPM1,455
TSTA3,456
TXNRD1,457
UBE2A,458
UGDH,459
NR1H2,460
USP1,461
VDAC1,462
WFS1,463
WRB,464
XBP1,465
XPNPEP1,466
ZFP36,467
ZNF131,468
ZMYM2,469
PAX8,470
CXCR4,471
IFRD2,472
MAPKAPK3,473
USP7,474
REEP5,475
ST7,476
KAT6A,477
PDHX,478
FOSL1,479
HMGA2,480
NCOA3,481
NRIP1,482
SMC1A,483
LAGE3,484
AXIN1,485
CDC45,486
FZD1,487
FZD7,488
HIST2H2BE,489
PIP4K2B,490
NCK2,491
DYRK3,492
DUSP11,493
RAE1,494
PIK3R3,495
NIPSNAP1,496
ELP1,497
HAT1,498
MAPKAPK5,499
BHLHE40,500
MKNK1,501
CASK,502
AKR7A2,503
RUVBL1,504
PSMG1,505
BECN1,506
MBTPS1,507
EED,508
CTNNAL1,509
RNMT,510
PEX11A,511
CREG1,512
INPP4B,513
IQGAP1,514
SOCS2,515
CFLAR,516
CDK5R1,517
ST3GAL5,518
IER3,519
SQSTM1,520
SLC5A6,521
CPNE3,522
CCNA1,523
TIMELESS,524
P4HA2,525
PLOD3,526
NOL3,527
SLC25A14,528
MPZL1,529
MAP7,530
DNAJA3,531
USP14,532
MTA1,533
PDLIM1,534
SMC3,535
PRPF4,536
CCNB2,537
CCNE2,538
SYNGR3,539
LPAR2,540
ARHGEF2,541
ZW10,542
AURKB,543
VAPB,544
NOLC1,545
UBE2L6,546
MAPKAPK2,547
CYTH1,548
ITGB1BP1,549
BCL7B,550
COPB2,551
ADGRG1,552
TM9SF2,553
MAP4K4,554
HOMER2,555
SH3BP5,556
PIGB,557
PSMF1,558
SPTLC2,559
TBPL1,560
BAG3,561
POLR1C,562
SPAG7,563
FEZ2,564
IKBKE,565
MTFR1,566
HS2ST1,567
IPO13,568
VGLL4,569
NUP93,570
UBE3C,571
EDEM1,572
TRAM2,573
CEP57,574
KIAA0100,575
HERPUD1,576
KIAA0355,577
USP6NL,578
CCP110,579
MLEC,580
TATDN2,581
MRPL19,582
SCRN1,583
EFCAB14,584
KEAP1,585
MELK,586
PLEKHM1,587
C2CD5,588
KIAA0753,589
C2CD2L,590
TOMM70,591
WASHC5,592
KLHL21,593
ARNT2,594
FAM20B,595
NCAPD2,596
PAN2,597
LPGAT1,598
KIF14,599
OXSR1,600
MVP,601
DMTF1,602
GNPDA1,603
HDAC6,604
PARP2,605
MAMLD1,606
DNAJB6,607
SMC4,608
ABCC5,609
ABCB6,610
DNM1L,611
TSPAN3,612
KIF20A,613
ARL4C,614
TRAP1,615
G3BP1,616
MBNL2,617
CEBPZ,618
SLC25A13,619
SORBS3,620
RBM6,621
TXNDC9,622
TRIM13,623
TRIB1,624
MFSD10,625
SLC35B1,626
TIMM17B,627
AKAP8,628
STUB1,629
NET1,630
SMNDC1,631
PAK4,632
TNIP1,633
IKZF1,634
RXYLT1,635
HMG20B,636
MYL9,637
LYPLA1,638
PPIE,639
VAV3,640
LRRC41,641
CRTAP,642
VAT1,643
STK25,644
APPBP2,645
CHERP,646
HYOU1,647
RPP38,648
SLC35A1,649
DRAP1,650
PAICS,651
ST6GALNAC2,652
STAMBP,653
NPRL2,654
IGF2BP2,655
YKT6,656
CGRRF1,657
RRAGA,658
GNB5,659
EBP,660
CNPY3,661
YME1L1,662
TCFL5,663
KDM5B,664
POP4,665
ARPP19,666
ZNF274,667
MTHFD2,668
WASF3,669
UTP14A,670
FRS2,671
CLPX,672
PGRMC1,673
MALT1,674
CPSF4,675
BLCAP,676
TCERG1,677
RNPS1,678
TOMM34,679
PDIA5,680
MLLT11,681
EBNA1BP2,682
TMED10,683
ASCC3,684
SLC27A3,685
KIF2C,686
CCDC85B,687
TLK2,688
KDELR2,689
RAB31,690
B4GAT1,691
TENT4A,692
UBE2C,693
DUSP14,694
TOPBP1,695
PRSS23,696
PWP1,697
PKIG,698
CORO1A,699
LSM6,700
PSIP1,701
SLC2A6,702
NISCH,703
CHEK2,704
PRAF2,705
POLG2,706
CHP1,707
PNKP,708
ECD,709
DDX42,710
TWF2,711
CASC3,712
COG2,713
ATF5,714
MTF2,715
PUF60,716
RAB11FIP2,717
CLSTN1,718
FOXJ3,719
KHDC4,720
EPN2,721
SACM1L,722
ATF6,723
RPIA,724
RAB21,725
SPEN,726
FBXO21,727
RBM34,728
WDTC1,729
XPO7,730
TBC1D9B,731
RRP1B,732
MYCBP2,733
CDK19,734
GPATCH8,735
MAST2,736
DCUN1D4,737
FCHO1,738
SNX13,739
ATP11B,740
JMJD6,741
RRS1,742
RRP12,743
SYNE2,744
PDS5A,745
CAMSAP2,746
ATMIN,747
TRIM2,748
WASHC4,749
USP22,750
WDR7,751
JADE2,752
ARHGEF12,753
PPP1R13B,754
RRP8,755
NUDCD3,756
SIRT3,757
SLC35A3,758
ICMT,759
MACF1,760
SUZ12,761
KAT6B,762
NNT,763
ADAT1,764
TMEM50A,765
KLHDC2,766
ACOT9,767
SSBP2,768
NUP62,769
ARFIP2,770
LSM5,771
PLA2G15,772
CEMIP2,773
ZNF318,774
FBXO7,775
SPDEF,776
BAMBI,777
BACE2,778
COG4,779
MPC2,780
CLIC4,781
C2CD2,782
TIPARP,783
TSKU,784
RNF167,785
LRP10,786
ZNF451,787
SENP6,788
RAI14,789
KIF1BP,790
TES,791
PHGDH,792
MYCBP,793
CHIC2,794
TIMM9,795
AKAP8L,796
ATP2C1,797
TRAPPC3,798
DMAC2L,799
TNFRSF21,800
SESN1,801
HTATSF1,802
TMEM97,803
BZW2,804
CHMP4A,805
GTPBP8,806
DNAJC15,807
PACSIN3,808
RBM15B,809
HOOK2,810
SNX11,811
TIMM22,812
NENF,813
UBQLN2,814
ERO1A,815
DNTTIP2,816
PIK3R4,817
HDGFL3,818
COPS7A,819
NSDHL,820
HEBP1,821
MTERF3,822
AMDHD2,823
ISOC1,824
MRPS16,825
FIS1,826
GOLT1B,827
GLOD4,828
GMNN,829
LAP3,830
NOSIP,831
DERA,832
SCCPDH,833
MRPS2,834
VPS28,835
HSD17B11,836
NUSAP1,837
SCAND1,838
CD320,839
NGRN,840
SNX7,841
ATP6V1D,842
ZNF589,843
PRKAG2,844
UBE2J1,845
EVL,846
HACD3,847
UFM1,848
LSR,849
DHRS7,850
CAB39,851
ARID4B,852
NUDT9,853
CYCS,854
TERF2IP,855
GFOD1,856
KCTD5,857
TMCO1,858
DHX29,859
EXOSC4,860
DDIT4,861
PAF1,862
P4HTM,863
SLC35F2,864
ZNF586,865
FBXL12,866
TEX10,867
YTHDF1,868
TXNL4B,869
HERC6,870
PIH1D1,871
PPP2R3C,872
FKBP14,873
CDCA4,874
PLEKHJ1,875
HEATR1,876
ANO10,877
UBR7,878
FAIM,879
ADI1,880
ABCF3,881
ENOSF1,882
CARMIL1,883
ANKRD10,884
STAP2,885
IARS2,886
NUP133,887
CNDP2,888
MINDY1,889
KDM3A,890
PECR,891
EAPP,892
CISD1,893
ZNF395,894
KLHL9,895
NPDC1,896
TM9SF3,897
PAK6,898
DUSP22,899
COQ8A,900
CIAPIN1,901
PLSCR3,902
SCYL3,903
LYRM1,904
ZMIZ1,905
MCOLN1,906
THAP11,907
ABHD6,908
TRIB3,909
POLD4,910
SQOR,911
ENOPH1,912
PRUNE1,913
SNX6,914
FASTKD5,915
ELAC2,916
ABHD4,917
MCUR1,918
RBKS,919
ATG3,920
CIAO3,921
ZDHHC6,922
ACBD3,923
CERK,924
NT5DC2,925
ACD,926
INTS3,927
TRAK2,928
METRN,929
ELOVL6,930
TMEM109,931
CCDC86,932
TRAPPC6A,933
CHAC1,934
MBOAT7,935
PRR15L,936
CRELD2,937
FSD1,938
TCTN1,939
CHMP6,940
NPEPL1,941
FAM57A,942
NUP85,943
TCEAL4,944
DHDDS,945
DENND2D,946
FBXO11,947
CCDC92,948
COASY,949
WDR61,950
TSEN2,951
PRR7,952
ITFG1,953
GDPD5,954
GRWD1,955
ARID5B,956
TUBB6,957
PSRC1,958
ADO,959
HIST1H2BK,960
MICALL1,961
UBE3B,962
JPT2,963
SLC25A46,964
COG7,965
MAPK1IP1L,966
TBC1D31,967
H2AFV,968
RPL39L,969
CANT1,970
WIPF2,971
TICAM1,972
TXLNA,973
SPRED2,974
EML3,975
STIMATE,976
DIPK1A,977
